1798,7547479999996  9,008135979753045e-214  107,2940626760252  2,6623085841611193e-107  1,38573048694725e-107
1771,081598030769  2,0405688258003384e-210  105,60363602618494  5,035955527707148e-106  -1,3367723609612433e-105
1744,2470283636362  4,346388487054139e-207  103,92663172574429  -6,381064794686924e-104  -1,6570748192367535e-104
1718,2134906268655  8,70508466968588e-204  102,26304977470326  -4,7381128550966805e-103  2,9121448342088956e-102
1692,9456451764704  1,6394211390257518e-200  100,61289017306186  1,2761043659821824e-100  1,047797029341295e-101
1668,4102010434779  2,903265712580903e-197  98,97615292082007  8,612305171131942e-101  -5,387507767583538e-99
1644,5757695999998  4,834673714478067e-194  97,3528380179779  -2,197321892622643e-97  8,031322854494966e-99
1621,4127305915495  7,570714347616999e-191  95,74294546453535  6,574324325992161e-97  8,67611238244046e-96
1598,893109333333  1,114809897924649e-187  94,14647526049242  3,3217588207751645e-94  -3,376645019081489e-95
1576,990464  1,5437031531700995e-184  92,56342740584913  -1,4078543780854628e-93  -1,2344564041193012e-92
1555,6797820540542  2,0101586993235243e-181  90,99380190060545  -4,455195059784163e-91  5,02816042415148e-92
1534,9373849599997  2,4615284276054617e-178  89,43759874476136  1,53183787165601e-90  1,5614298431101751e-89
1514,7408404210526  2,83459830760418e-175  87,8948179383169  5,311139017731837e-88  -3,711945721158811e-89
1495,0688814545451  3,0696890616219266e-172  86,36545948127207  -4,964389021484669e-88  -1,7513493500116596e-86
1475,9013316923074  3,1262040865559354e-169  84,84952337362687  -5,589280475990623e-85  -1,4827213584958527e-86
1457,2190363544303  2,9940846572703454e-166  83,3470096153813  -1,6379826392946393e-84  1,7225721424671996e-83
1439,0037983999996  2,6967347202774676e-163  81,8579182065353  5,1123238562599e-82  9,118618269730236e-83
1421,2383194074073  2,2842479159124895e-160  80,38224914708896  4,0551383859150396e-81  -1,4559555084628354e-80
1403,9061447804877  1,8196272775672393e-157  78,92000243704224  -3,9611185209077034e-79  -1,5829759439089273e-79
1386,9916129156625  1,3631983137546428e-154  77,4711780763951  -5,619683978898929e-78  1,0234206532641942e-77
1370,4798079999998  9,604530423819997e-152  76,03577606514762  2,49031170304216e-76  1,84468914603823e-76
1354,3565161411761  6,364095854260437e-149  74,61379640329973  5,646438435049708e-75  -5,635485031636388e-75
1338,6081845581393  3,9659172386817164e-146  73,20523909085149  -1,1606528973899673e-73  -1,618271327825464e-73
1323,2218835862068  2,3243403466909353e-143  71,81010412780287  -4,348439705456992e-72  2,0819403437453386e-72
1308,185271272727  1,2811725305901465e-140  70,42839151415384  2,88188925631306e-71  1,094586530948385e-70
1293,4865603595504  6,641557444218981e-138  69,06010124990446  2,573233917844586e-69  -1,4150847420978848e-70
1279,1144874666666  3,238091913824029e-135  67,7052333350547  9,121563846973769e-69  -5,616839847111194e-68
1265,058284307692  1,4847993148928196e-132  66,36378776960453  -1,1268648227048098e-66  -4,6365395096265144e-67
1251,3076507826086  6,403361736172074e-130  65,035764553554  -1,4971851561050042e-65  2,0400486132714848e-65
1237,8527298064514  2,597241145041938e-127  63,721163686903104  3,2104103584485214e-64  3,957988981892928e-64
1224,6840837446807  9,907924010698651e-125  62,41998516965179  9,121460986834999e-63  -3,9847446056972835e-63
1211,7926723368419  3,554850495517828e-122  61,13222900180012  -2,42224519373178e-62  -1,8698068824700215e-61
1199,1698319999998  1,1995831409626756e-119  59,85789518334808  -3,414949111218185e-60  -5,778875127711999e-61
1186,807256412371  3,807252677859159e-117  58,59698371429563  -2,835729325806696e-59  5,4800698872689105e-59
1174,696978285714  1,1364944412552042e-114  57,34949459464282  7,421020208180356e-58  7,653620267252565e-58
1162,8313522424244  3,190796252163036e-112  56,115427824389634  1,6212462101282295e-56  -7,499046461436874e-57
1151,2030387199998  8,425754306532222e-110  54,894783403536046  -2,4090347470261186e-56  -2,8927011291193615e-55
1139,8049888316832  2,09265787899131e-107  53,6875613320821  -4,3957884199184067e-54  -1,2663423538776316e-54
1128,630430117647  4,888426734680349e-105  52,493761610027775  -4,2728296104056e-53  5,534184173592763e-53
1117,6728531262133  1,074046503287073e-102  51,31338423737303  5,17548889391197e-52  8,978806437255519e-52
1106,9259987692305  2,2195338415960468e-100  50,14642921411793  1,4792644252756403e-50  -1,7694801979670993e-51
1096,3838464  4,314065498683117e-98  48,9928965402625  6,102531767725316e-50  -1,9853605614402012e-49
1086,0406025660377  7,88677585345678e-96  47,85278621580663  -2,0947689074725076e-48  -1,8704863211858073e-48
1075,8906903925233  1,3561306809728684e-93  46,72609824075038  -3,3950284654107553e-47  1,426565290752363e-47
1065,9287395555555  2,193281134484452e-91  45,61283261509377  -2,7960681790886283e-47  4,674893728441685e-46
1056,1495768073394  3,336408210494985e-89  44,512989338836775  4,981693587436695e-45  2,923492963193509e-45
1046,5482170181817  4,77372653226431e-87  43,426568411979375  5,869490971120969e-44  -3,6450433553762467e-44
1037,1198547027027  6,424372164141316e-85  42,353569834521636  -4,640698413794725e-44  -8,001772355155775e-43
1027,859856  8,132048027362909e-83  41,293993606463495  -8,107094878381552e-42  -3,949112926537895e-42
1018,763751079646  9,68203212538434e-81  40,24783972780498  -8,160516853143434e-41  5,497843754000779e-41
1009,8272269473686  1,0842555782948693e-78  39,2151081985461  5,70333359858802e-41  1,0397128338542287e-39
1001,0461206260869  1,1420800907098761e-76  38,1957990186868  9,395484115627822e-39  5,0924343200450697e-39
992,4164126896551  1,1315203355036975e-74  37,189912188227126  9,287793447816017e-38  -5,185453347690597e-38
983,9342211282051  1,0544602208142687e-72  36,197447707167115  7,093318019807839e-38  -1,0244162751348963e-36
975,5957955254237  9,242749260252401e-71  35,21840557550669  -7,589695797906471e-36  -5,9011871939267346e-36
967,3975115294116  7,620375055690412e-69  34,25278579324588  -8,327282622803767e-35  2,6191820625635273e-35
959,3358656  5,90958209888501e-67  33,30058836038471  -2,3733833805813494e-34  7,31183098256725e-34
951,4074700165288  4,310656935156541e-65  32,361813276923144  3,841009441284892e-33  5,324773781441399e-33
943,6090481311473  2,957586196479319e-63  31,436460542861195  5,437222929954098e-32  1,1166366810455825e-33
935,9374298536585  1,9087084172057663e-61  30,524530158198893  2,7450802924985464e-31  -3,3987671823462335e-31
928,3895473548387  1,1586464625872738e-59  29,626022122936185  -7,398664548201042e-31  -3,3225084281164235e-30
920,9624309759998  6,615647960896197e-58  28,740936437073092  -2,2971383710151225e-29  -1,1570666641582013e-29
913,6532053333333  3,5530787223573383e-56  27,86927310060964  -1,7324272103369103e-28  7,428153762824311e-29
906,4590856062991  1,7949367419298655e-54  27,0110321135458  -4,055051176586181e-28  1,2769112504330659e-27
899,3773739999998  8,529158759519406e-53  26,16621347588157  4,727009421489472e-27  7,933912623941848e-27
892,405456372093  3,812210036442098e-51  25,334817187616974  6,048675081569031e-26  1,2392054397987641e-26
885,5407990153847  1,6027354115807396e-49  24,516843248751996  3,267809881785219e-25  -2,3127413803350924e-25
878,7809455877862  6,338143019043852e-48  23,712291659286624  3,7708365316995175e-25  -2,4891667155005617e-24
872,1235141818181  2,35764389519172e-46  22,921162419220884  -9,179343884541903e-24  -1,2308697549639247e-23
865,5661945263157  8,249186426302576e-45  22,143455528554767  -8,977361414624662e-23  -1,377986318594654e-23
859,1067453134327  2,7149479690064426e-43  21,379170987288255  -4,264878005063768e-22  2,993375234077365e-22
852,7429916444444  8,404852885562719e-42  20,628308795421376  -5,985533786896443e-22  2,8366506197312933e-21
846,4728225882353  2,4474715281394366e-40  19,890868952954115  7,901788626808168e-21  1,3502180909437879e-20
840,2941888467153  6,703857984988849e-39  19,166851459886466  7,77900056881714e-20  2,5545508411912827e-20
834,2051005217389  1,7272383463841e-37  18,456256316218436  3,838692826933275e-19  -1,5927400429109643e-19
828,2036249784172  4,1860143556382666e-36  17,759083521950043  9,453765262587027e-19  -1,8144634411410155e-18
822,2878847999999  9,542689348581045e-35  17,075333077081254  -1,9735287651138687e-18  -9,567239816116172e-18
816,4560558297873  2,0462709050936776e-33  16,4050049816121  -3,4684249444467347e-17  -2,9039176048359985e-17
810,7063652957747  4,1274171969899685e-32  15,74809923554255  -2,0299684546812628e-16  -8,15185254340032e-18
805,0370900139859  7,830998115851303e-31  15,104615838872618  -7,286869483828551e-16  5,02110687838461e-16
799,4465546666665  1,3975906292961566e-29  14,474554791602307  -1,2375096885505735e-15  3,527672896358877e-15
793,9331301517242  2,3462135524748887e-28  13,857916093731633  4,222008162242913e-15  1,4723994102329812e-14
788,495232  3,704933116619708e-27  13,254699745260561  4,700899921103451e-14  3,8666356303596345e-14
783,1313188571429  5,503247483525219e-26  12,664905746189127  2,3345209806448595e-13  2,3077970979742182e-14
777,8398910270271  7,689252204014069e-25  12,088534096517295  7,786657201284698e-13  -4,032429995650494e-13
772,6194890738254  1,0105925679495367e-23  11,52558479624508  1,6071101459974979e-12  -2,742831139193091e-12
767,4686924799998  1,2493828981279413e-22  10,97605784537249  -2,1813274158505396e-13  -1,1175451128247248e-11
762,3861183576157  1,4529243300868254e-21  10,439953243899518  -2,0105741994686705e-11  -3,238338260481627e-11
757,3704202105263  1,5893477373665003e-20  9,91727099182618  -1,1108685646983658e-10  -5,960862096471388e-11
752,4202867450981  1,6353994653169765e-19  9,408011089152463  -4,0434388233834047e-10  6,7802173457715925e-12
747,5344407272728  1,5829174127381838e-18  8,91217353587835  -1,096431826445482e-9  6,170532089662999e-10
742,7116378838709  1,441194591546267e-17  8,429758332003857  -2,0670375626924107e-9  3,184227006650325e-9
737,9506658461537  1,234290606523499e-16  7,960765477528983  -1,1841005566395054e-9  1,1046581666928277e-8
733,2503431337578  9,943587944508645e-16  7,505194972453731  1,077680357735338e-8  2,96347650421934e-8
728,6095181772151  7,535293326938168e-15  7,063046816778111  6,172006255090607e-8  6,104037357069836e-8
