-25.5  0.009955001  1.162347  0.07398481  0.06694213
-24.75  0.01315815  1.227607  0.07985883  0.0823451
-24  0.0172301  1.290336  0.08529706  0.09977232
-23.25  0.02235434  1.350654  0.0901291  0.1192941
-22.5  0.0287382  1.408655  0.09417863  0.140956
-21.75  0.03661194  1.464418  0.09726764  0.1647755
-21  0.04622654  1.518008  0.0992212  0.1907398
-20.25  0.05784984  1.569476  0.09987255  0.2188043
-19.5  0.07176101  1.618863  0.09906837  0.2488905
-18.75  0.08824307  1.666201  0.09667422  0.2808864
-18  0.1075734  1.711519  0.09257975  0.3146464
-17.25  0.1300123  1.754837  0.08670358  0.3499926
-16.5  0.1557902  1.796172  0.07899774  0.3867164
-15.75  0.1850928  1.835538  0.06945141  0.4245813
-15  0.2180459  1.872945  0.05809377  0.463326
-14.25  0.2546998  1.908402  0.04499592  0.5026681
-13.5  0.2950145  1.941916  0.03027164  0.5423082
-12.75  0.3388457  1.973493  0.01407707  0.5819343
-12  0.385934  2.003136  -0.003390939  0.6212266
-11.25  0.4358973  2.030851  -0.02189764  0.659862
-10.5  0.4882272  2.056639  -0.04117435  0.6975183
-9.75  0.5422905  2.080504  -0.06092352  0.7338793
-9  0.5973371  2.102446  -0.0808248  0.7686381
-8.25  0.6525126  2.122468  -0.1005419  0.8015011
-7.5  0.7068777  2.140571  -0.1197301  0.8321913
-6.75  0.7594324  2.156755  -0.1380443  0.8604512
-6  0.8091457  2.171021  -0.1551468  0.8860447
-5.25  0.8549879  2.18337  -0.1707159  0.9087596
-4.5  0.8959659  2.193801  -0.1844534  0.9284088
-3.75  0.9311586  2.202315  -0.1960923  0.9448314
-3  0.9597512  2.208911  -0.2054031  0.957894
-2.25  0.9810667  2.213589  -0.2121999  0.9674905
-1.5  0.9945922  2.216349  -0.2163453  0.9735435
-0.75  1  2.21719  -0.2177533  0.9760038
0  0.9971602  2.216111  -0.2163922  0.9748511
0.75  0.9861466  2.213112  -0.2122851  0.9700936
1.5  0.9672329  2.208191  -0.2055093  0.9617686
2.25  0.9408821  2.201348  -0.1961948  0.949942
3  0.9077274  2.192582  -0.1845206  0.9347083
3.75  0.8685471  2.181892  -0.1707102  0.9161905
4.5  0.8242342  2.169277  -0.1550266  0.8945395
5.25  0.7757631  2.154737  -0.137765  0.8699332
6  0.7241536  2.13827  -0.119246  0.8425758
6.75  0.6704367  2.119876  -0.09980744  0.8126962
7.5  0.6156202  2.099556  -0.07979669  0.7805464
8.25  0.5606592  2.077308  -0.05956195  0.746399
9  0.5064298  2.053134  -0.03944441  0.7105449
9.75  0.4537096  2.027034  -0.0197705  0.6732895
10.5  0.4031619  1.999009  -0.0008447848  0.6349497
11.25  0.3553277  1.969061  0.01705639  0.5958497
