-96  3.155016E-9
-95.25  3.393445E-9
-94.5  3.645417E-9
-93.75  3.916277E-9
-93  4.213639E-9
-92.25  4.547934E-9
-91.5  4.933044E-9
-90.75  5.387046E-9
-90  5.933062E-9
-89.25  6.60024E-9
-88.5  7.424866E-9
-87.75  8.451629E-9
-87  9.735041E-9
-86.25  1.134101E-8
-85.5  1.334857E-8
-84.75  1.585179E-8
-84  1.896177E-8
-83.25  2.280877E-8
-82.5  2.754444E-8
-81.75  3.334404E-8
-81  4.040863E-8
-80.25  4.896718E-8
-79.5  5.927853E-8
-78.75  7.163302E-8
-78  8.635394E-8
-77.25  1.037985E-7
-76.5  1.243585E-7
-75.75  1.484608E-7
-75  1.765678E-7
-74.25  2.091779E-7
-73.5  2.468273E-7
-72.75  2.900934E-7
-72  3.396016E-7
-71.25  3.960379E-7
-70.5  4.601687E-7
-69.75  5.328742E-7
-69  6.151989E-7
-68.25  7.084271E-7
-67.5  8.141942E-7
-66.75  9.346458E-7
-66  1.072662E-6
-65.25  1.232171E-6
-64.5  1.418577E-6
-63.75  1.63935E-6
-63  1.904812E-6
-62.25  2.229194E-6
-61.5  2.632043E-6
-60.75  3.140069E-6
-60  3.789575E-6
-59.25  4.629617E-6
-58.5  5.726097E-6
-57.75  7.167039E-6
-57  9.069344E-6
-56.25  1.15874E-5
-55.5  1.492396E-5
-54.75  1.934394E-5
-54  2.519153E-5
-53.25  3.291174E-5
-52.5  4.307686E-5
-51.75  5.64192E-5
-51  7.387102E-5
-50.25  9.661322E-5
-49.5  0.000126134
-48.75  0.0001642995
-48  0.0002134375
-47.25  0.0002764371
-46.5  0.0003568655
-45.75  0.000459104
-45  0.0005885056
-44.25  0.0007515757
-43.5  0.0009561775
-42.75  0.001211763
-42  0.001529632
-41.25  0.001923217
-40.5  0.002408394
-39.75  0.003003817
-39  0.003731277
-38.25  0.004616073
-37.5  0.005687399
-36.75  0.006978723
-36  0.008528173
-35.25  0.01037889
-34.5  0.01257936
-33.75  0.01518367
-33  0.01825173
-32.25  0.02184938
-31.5  0.02604839
-30.75  0.03092635
-30  0.03656635
-29.25  0.04305653
-28.5  0.05048945
-27.75  0.05896116
-27  0.06857012
-26.25  0.07941581
-25.5  0.09159719
-24.75  0.1052108
-24  0.1203487
-23.25  0.1370961
-22.5  0.1555291
-21.75  0.1757119
-21  0.197694
-20.25  0.2215077
