18  0.304202  0.3039431  0.0002179418  0.000212193  284.4074
19.5  0.2474191  0.247165  4.731835E-5  4.859569E-5  283.01
21  0.1979366  0.197694  9.668224E-6  9.855703E-6  281.6262
22.5  0.1557546  0.1555291  1.70942E-6  1.760699E-6  280.256
24  0.1205527  0.1203487  2.539339E-7  2.756389E-7  278.899
25.5  0.09177725  0.09159719  3.82327E-8  3.768116E-8  277.555
27  0.06872499  0.06857012  4.105913E-9  4.551108E-9  276.224
28.5  0.05061929  0.05048945  5.361239E-10  5.352014E-10  274.9057
30  0.03667238  0.03656635  4.508283E-11  9.391976E-11  273.5999
31.5  0.02613268  0.02604839  4.344005E-12  4.008714E-11  272.3064
33  0.01831683  0.01825173  3.427235E-13  3.28421E-11  271.0252
34.5  0.01262811  0.01257936  2.201246E-14  2.839613E-11  269.7559
36  0.008563442  0.008528173  1.693588E-15  2.77373E-11  268.4984
37.5  0.005711891  0.005687399  6.666206E-17  2.518524E-11  267.2526
39  0.003747427  0.003731277  4.629025E-18  2.47262E-11  266.0184
40.5  0.002418288  0.002408394  1.242719E-19  2.27519E-11  264.7954
42  0.001534987  0.001529632  5.070863E-21  2.232057E-11  263.5837
43.5  0.0009583475  0.0009561775  2.670958E-22  2.076597E-11  262.383
45  0.0005885225  0.0005885056  4.11071E-24  2.03686E-11  261.1932
46.5  0.0003554878  0.0003568655  1.486566E-25  1.912606E-11  260.0142
48  0.0002112069  0.0002134375  5.377083E-27  1.876491E-11  258.8457
49.5  0.0001234279  0.000126134  2.403841E-28  1.776399E-11  257.6877
51  7.094799E-5  7.387102E-5  2.328514E-28  1.74401E-11  256.54
52.5  4.011332E-5  4.307686E-5  2.50837E-28  1.662929E-11  255.4025
54  2.23079E-5  2.519153E-5  2.422996E-28  1.634163E-11  254.275
55.5  1.220255E-5  1.492396E-5  2.114078E-28  1.568219E-11  253.1574
57  6.565446E-6  9.069344E-6  1.743003E-28  1.542893E-11  252.0497
58.5  3.474558E-6  5.726097E-6  1.457228E-28  1.489172E-11  250.9515
60  1.808658E-6  3.789575E-6  1.500114E-28  1.46708E-11  249.8629
61.5  9.260516E-7  2.632043E-6  2.045804E-28  1.423362E-11  248.7837
63  4.663753E-7  1.904812E-6  3.160825E-28  1.404304E-11  247.7138
64.5  2.310243E-7  1.418577E-6  4.828413E-28  1.368889E-11  246.6531
66  1.125645E-7  1.072662E-6  6.900718E-28  1.35268E-11  245.6013
67.5  5.394694E-8  8.141942E-7  9.001156E-28  1.324255E-11  244.5586
69  2.543045E-8  6.151989E-7  1.016462E-27  1.310743E-11  243.5246
70.5  1.179133E-8  4.601687E-7  1.022623E-27  1.288285E-11  242.4994
72  5.377661E-9  3.396017E-7  9.197358E-28  1.277346E-11  241.4827
73.5  2.412379E-9  2.468275E-7  7.432043E-28  1.260063E-11  240.4745
75  1.064436E-9  1.765682E-7  5.363456E-28  1.251609E-11  239.4748
76.5  4.619715E-10  1.24359E-7  3.348815E-28  1.23888E-11  238.4832
78  1.972116E-10  8.63548E-8  1.886488E-28  1.232859E-11  237.4999
79.5  8.280786E-11  5.927975E-8  1.10409E-28  1.224205E-11  236.5247
81  3.420048E-11  4.041026E-8  7.702422E-29  1.220599E-11  235.5574
82.5  1.38936E-11  2.754652E-8  7.383072E-29  1.215653E-11  234.598
84  5.551608E-12  1.896428E-8  8.497493E-29  1.214482E-11  233.6464
85.5  2.181949E-12  1.335144E-8  9.741688E-29  1.21297E-11  232.7025
87  8.435136E-13  9.738133E-9  1.039468E-28  1.214293E-11  231.7661
88.5  3.20746E-13  7.427992E-9  1.011565E-28  1.216021E-11  230.8373
90  1.199643E-13  5.935989E-9  8.931863E-29  1.219938E-11  229.9159
91.5  4.413313E-14  4.935523E-9  7.148796E-29  1.224776E-11  229.0018
93  1.596978E-14  4.215443E-9  5.243478E-29  1.231434E-11  228.095
94.5  5.684012E-15  3.646368E-9  3.755374E-29  1.239316E-11  227.1953
