Directory,rmsT,rmsW,TBDrms
s15701,5.9396595449606785e-15,2.8048604426607874e-08,1.665991610053278e-22
s8061,7.979561165029938e-15,2.253166903063073e-08,1.7979283118012871e-22
s8515,4.953394597262299e-15,1.6232002286360286e-08,8.040351242800632e-23
s7587,1.2126199919710217e-14,3.63484393277697e-08,4.407684420579926e-22
s13480,1.432533481225112e-14,4.754940436913472e-08,6.811611377109712e-22
s4094,4.713011740646659e-15,1.0899896601731671e-08,5.1371340655795994e-23
s8970,1.4049907177966911e-14,3.513951326401408e-08,4.937068996383349e-22
s14941,1.3233138369209904e-14,1.3834767450293943e-08,1.8307739197558104e-22
s19359,1.3053729636744705e-14,2.931776053887339e-08,3.8270611962927597e-22
s6667,1.0763252849862503e-14,6.207135476516964e-08,6.680896860710385e-22
s17988,4.908710111758845e-15,1.0122774101334692e-08,4.968976359027216e-23
s3471,1.2354398018751565e-14,3.249156293918456e-08,4.0141370080200346e-22
s16272,1.5261364886638305e-14,2.006893664767783e-08,3.062793650670391e-22
s16723,8.233448370880751e-15,2.421148239548628e-08,1.993439902857245e-22
s2180,7.657803296606382e-15,6.905468444553241e-09,5.288071901931115e-23
s1697,5.187299030417793e-15,2.4614220207891017e-08,1.2768132061888313e-22
s4089,1.6982726643861514e-14,2.0749891160735912e-08,3.523897294726563e-22
s19278,5.154463183438951e-15,4.554448278543913e-08,2.3475735972631507e-22
s3420,6.199943455200975e-15,2.1264891403824874e-08,1.318411242847035e-22
s5132,2.3003472988537872e-14,1.9081708008932867e-08,4.38945554758654e-22
s17630,9.911419228589063e-15,2.427661784760689e-08,2.4061573693987935e-22
s960,6.620468931742939e-15,2.633337027308106e-08,1.7433925976101623e-22
s15543,1.536859006467743e-14,2.082697294214085e-08,3.2008120943589153e-22
s11190,8.751300937554227e-15,2.5198536744585742e-08,2.2051997823788785e-22
s15865,1.172497042136786e-14,2.0917741270845193e-08,2.4525989768248565e-22
s17941,6.541197931145071e-15,7.982995913035802e-09,5.221835635068935e-23
s11595,1.828158310073958e-14,1.4318581184131006e-08,2.6176633180237715e-22
s2422,6.458886975801178e-15,8.118945409532283e-09,5.2439350762868825e-23
s14839,4.939134586537927e-15,2.0909849335002693e-08,1.0327656004980888e-22
s10341,6.43949345562535e-15,5.099872920848309e-08,3.2840598298323625e-22
s442,1.998343896052493e-14,2.864697789105427e-08,5.724651340893902e-22
s8421,6.951588741731232e-15,4.790002791123782e-08,3.329812947563726e-22
s11291,8.787353166786731e-15,2.038915823670144e-08,1.7916673419939416e-22
s7294,4.630350835676098e-15,1.3450777072506637e-08,6.2281816858174e-23
s7905,1.579928846157998e-14,1.7008470089116207e-08,2.687217252281019e-22
s8152,6.234182127108744e-15,2.4454127223458223e-08,1.5245148287052662e-22
s16101,9.768153671185322e-15,1.770556170640832e-08,1.729506475828507e-22
s5609,5.045537377237255e-15,1.1267508518175943e-08,5.685063537679588e-23
s16274,5.6696724807048315e-15,3.2267086441882876e-08,1.8294381203206732e-22
s16354,1.7493010602624847e-14,1.0210383469867043e-08,1.7861034629524965e-22
s12709,1.5757482998290178e-14,1.927594900736165e-08,3.0374043875940965e-22
s11584,8.562313263243945e-15,3.1076022991385136e-08,2.6608264382801073e-22
s4799,9.704462754908083e-15,5.5519115447563464e-08,5.387831880463216e-22
s4731,9.195230283255129e-15,4.908648357518233e-09,4.5136152026902204e-23
s3149,1.7724918627551103e-14,2.290230283438668e-08,4.059414541230369e-22
s16211,7.589169528999253e-15,2.2476167362629468e-08,1.7057544447715507e-22
s16279,1.576085318240439e-14,2.604152151678047e-08,4.104365972724019e-22
s2106,4.613342262813096e-15,2.115436815906802e-08,9.759234067133617e-23
s15584,9.877683790406434e-15,4.087305010835284e-08,4.0373106451974677e-22
s12019,1.774200884751053e-14,1.7596699821801793e-08,3.122008039253944e-22
s655,5.310094273212479e-15,2.054798272048921e-08,1.0911172537013873e-22
s4812,5.345875380369687e-15,2.3712375412262653e-08,1.2676340392649844e-22
s1184,6.025062033304019e-15,7.62067910713536e-09,4.591506435639443e-23
s7328,5.2343713267972236e-15,1.552364853580479e-08,8.125654078309429e-23
s11802,8.348000169342143e-15,2.713057644586209e-08,2.264860567644067e-22
s12910,2.507916924362134e-14,3.066638989710512e-08,7.690875823203789e-22
s16187,6.279463128493756e-15,9.755731969974148e-09,6.126075919692041e-23
s929,4.96647666857382e-15,2.4581021821072155e-08,1.2208107136405882e-22
s19647,4.580173994214578e-15,3.066580541232289e-08,1.4045472446116598e-22
s7387,7.81686010131191e-15,1.7719549554286573e-08,1.3851123992412193e-22
