1223,399113111997  1,1598884151775364e-48  -551,3273400010848  -2,38754743195857e-26  1,076716479349857e-24
1221,628783780978  3,4235007555600576e-48  -532,9883557721416  8,681735909769276e-25  1,6339447271833536e-24
1219,863570584645  1,0104686103498289e-47  -515,0552779565699  3,1351335107080342e-24  5,249990224122378e-25
1218,1034513770614  2,982451656720906e-47  -497,5236125864119  2,2209836677165052e-24  -4,9891630675841415e-24
1216,3484041399233  8,802827490475327e-47  -480,38886569371823  -9,030282073570655e-24  -2,546032320396138e-24
1214,5984069816395  2,5981795910497035e-46  -463,6465433105331  4,169184913777132e-24  1,557035183480783e-23
1212,8534381364225  7,668569292447581e-46  -447,2921514689011  1,039496144862719e-23  -2,5667132791301654e-23
1211,1134759633858  2,2633813547818775e-45  -431,32119620087065  -2,870811593386048e-23  3,7937124750169236e-23
1209,3784989456494  6,680351831116421e-45  -415,72918353848956  4,1448871358037854e-23  -7,044389891439322e-23
1207,6484856894526  1,9716923778231863e-44  -400,51161951380107  -5,8177494740926135e-24  1,402963918612612e-22
1205,9234149232748  5,819386532805673e-44  -385,6640101588548  -1,7619779132765192e-22  -1,6476711947264833e-22
1204,2032654969628  1,7175661924275615e-43  -371,1818615056938  3,687571971266993e-22  -1,891421391705634e-22
1202,4880163808689  5,0693000638700695e-43  -357,06067958636766  3,350266055397444e-22  6,2824133895146015e-22
1200,7776466649907  1,496169365977773e-42  -343,29597043292125  -7,958481929250126e-22  9,288676007891354e-22
1199,0721355581236  4,4158241267962304e-42  -329,8832400773994  -2,1011168825066696e-21  3,3644804081526034e-23
1197,371462387018  1,3032899158935234e-41  -316,8179945518515  -3,197363126325619e-21  -1,6762363190637815e-21
1195,6756065955428  3,8465250645031537e-41  -304,0957398883211  -4,979261876637146e-21  -3,6975940568022695e-21
1193,9845477438591  1,1352574785268158e-40  -291,7119821188559  -9,56551399652785e-21  -4,693260043393225e-21
1192,298265507597  3,3505681700272716e-40  -279,6622272755036  -1,8271088770773845e-20  1,10640504935082e-21
1190,6167396770431  9,88873725313161e-40  -267,9419813903095  -1,9384227094532775e-20  2,4761370423721348e-20
1188,9399501563319  2,9185122526377622e-39  -256,5467504953183  2,6228962827133113e-20  4,722873872601968e-20
1187,2678769626457  8,613517125511231e-39  -245,47204062257927  8,444462191172105e-20  -3,850484327584921e-20
1185,6005002254205  2,542130581751086e-38  -234,7133578041362  -9,834727720169407e-20  -1,2549549348292952e-19
1183,9378001855605  7,502630196225233e-38  -224,2662080720378  -9,589277104044301e-20  2,565752880236861e-19
1182,2797571946544  2,2142548275252174e-37  -214,12609745832935  4,1345008897134493e-19  -2,246875757181708e-19
1180,6263517142042  6,5349167742536466e-37  -204,28853199505613  -8,054691231400928e-19  6,863795665151128e-20
