-1408,0  3,630709358548769e-9  -2568,085106785152  -1,0009255727822719e-5  5,941821402839214e-5
-1397,0  2,5271242907596088e-9  -2548,736476810189  -3,1057902443426056e-5  3,952886270276744e-5
-1386,0  1,628058128860343e-9  -2529,3616253904534  -3,7477769035691316e-5  1,4949078799970257e-5
-1375,0  9,313368414995759e-10  -2509,9481815006015  -3,0000713285862315e-5  -5,5941079574012695e-6
-1364,0  4,5006226304141297e-10  -2490,461299532374  -1,4447100834883753e-5  -1,5535235450681592e-5
-1353,0  1,838208007982864e-10  -2470,7878342062368  1,013032557312752e-6  -1,352015406110858e-5
-1342,0  1,1057547992490447e-10  -2450,7454022818292  1,0036045445420364e-5  -3,1389921539184587e-6
-1331,0  2,0551906014815498e-10  -2430,8015526151753  1,0078448760556063e-5  1,0195289634385133e-5
-1320,0  4,709106293625604e-10  -2411,2283810896342  1,2150131768925279e-6  2,1666434232299e-5
-1309,0  9,498674196592856e-10  -2391,805236128388  -1,5248756245633751e-5  2,678325694572136e-5
-1298,0  1,7069193045961303e-9  -2372,427700086212  -3,5745646651820555e-5  2,071637154617865e-5
-1287,0  2,783896540041932e-9  -2353,0619108221767  -5,276050022906554e-5  4,7555822010219564e-7
-1276,0  4,16387239245092e-9  -2333,7008260871453  -5,655071234149349e-5  -3,107876004799059e-5
-1265,0  5,779300032242038e-9  -2314,347658939092  -4,068200648011504e-5  -6,422051370858003e-5
-1254,0  7,575893799698766e-9  -2295,008169840349  -6,49897256146609e-6  -8,679664253497412e-5
-1243,0  9,602970168391517e-9  -2275,6859698508556  3,797201654463541e-5  -9,03387852913988e-5
-1232,0  1,2070024532513394e-8  -2256,379194936251  8,290905654174624e-5  -7,208406811404944e-5
-1221,0  1,5313589411539013e-8  -2237,0798632931346  0,00011939933131651768  -3,251751978099579e-5
-1210,0  1,9664841502327933e-8  -2217,77761388351  0,0001377918696489759  2,604308278540721e-5
-1199,0  2,527666158613425e-8  -2198,4655466857444  0,00012663274234214517  9,612913269681633e-5
-1188,0  3,2018339596348333e-8  -2179,1432687872802  7,763200922809e-5  0,00016121913887488074
-1177,0  3,953777630313823e-8  -2159,8157607974226  -5,8030579231826325e-6  0,00019875638561283614
-1166,0  4,7513017856326135e-8  -2140,49031432151  -0,00010547292419704632  0,00019075764759938265
-1155,0  5,599728494766284e-8  -2121,1733764382475  -0,0001955274828974672  0,00013329024112606111
-1144,0  6,566819471118714e-8  -2101,8677831274244  -0,0002536679931553733  3,634204121554839e-5
-1133,0  7,778946139483652e-8  -2082,571074183355  -0,00026604731418727374  -8,37155183259028e-5
-1122,0  9,381140427949479e-8  -2063,276411868463  -0,0002241144332415984  -0,0002087681132076734
-1111,0  1,1473900461218427e-7  -2043,9764481010363  -0,00012262534506099574  -0,0003157562815857445
-1100,0  1,4058532436359243e-7  -2024,6674962171294  3,331468524488727e-5  -0,00037346412961705776
-1089,0  1,7028574228864335e-7  -2005,350999121011  0,00021776593620717586  -0,0003505192424339291
-1078,0  2,023000846659694e-7  -1986,0321958566917  0,00038446825957017667  -0,0002334185983357981
-1067,0  2,357996082571328e-7  -1966,7176271302499  0,0004840145657357595  -3,910893008964803e-5
-1056,0  2,7196050786813126e-7  -1947,4125170665009  0,00048527189169120526  0,00019097565028707302
-1045,0  3,146676398558634e-7  -1928,118418300351  0,00038291055870985906  0,00040993553625462496
-1034,0  3,7004439412369376e-7  -1908,831997522018  0,00018815322384715502  0,0005784831531510802
-1023,0  4,4470606667813933e-7  -1889,5463460863114  -8,091402869468097e-5  0,0006619357873982459
-1012,0  5,433308351691475e-7  -1870,2547127552546  -0,00039385834470400093  0,0006230621473626623
-1001,0  6,667376619458412e-7  -1850,9540366938943  -0,000693562766111416  0,00043093891842083896
-990,0  8,117988983390951e-7  -1831,6458898501535  -0,0008967308137376323  8,759421232329706e-5
-979,0  9,739810726110778e-7  -1812,3350616475814  -0,0009222783476758227  -0,000351260191338888
-968,0  1,1521756347999715e-6  -1793,0272647212012  -0,0007306109135384449  -0,0007863735294492627
-957,0  1,3541611742231365e-6  -1773,7268376643715  -0,00034142862911147766  -0,0011124691750543892
-946,0  1,6001559117925613e-6  -1754,4348090232704  0,0001823884474487811  -0,0012517549145219223
-935,0  1,9220612639265367e-6  -1735,148036173685  0,0007619794437965702  -0,0011582092173515138
-924,0  2,357408387940926e-6  -1715,8603879204516  0,0013083120365006153  -0,0008035720273183596
-913,0  2,939386398925782e-6  -1696,5657564209125  0,0017048911312586015  -0,00018092161142756717
-902,0  3,686780503935357e-6  -1677,260909191178  0,001803973062396507  0,0006576181978041096
-891,0  4,5990128659624945e-6  -1657,9463899513776  0,0014715975256945314  0,0015599402515263934
